trempé,ADJ,5,13685
pompette,ADJ,6,13685
éméché,ADJ,7,13685
schlass,ADJ,8,13685
herbe aux bisons,NC,1,11027
luzerne,NC,2,11027
luzerne cultivée,NC,3,11027
avant,ADV,1,12359
devant,ADV,2,12359
auparavant,ADV,3,12359
préalablement,ADV,4,12359
aune,NC,1,12357
étalon,NC,2,12357
bourse,NC,1,13688
marché boursier,NC,2,13688
marché,NC,3,13688
bourse des valeurs,NC,4,13688
orage,NC,5,13688
autrefois,ADV,1,12358
auparavant,ADV,2,12358
autour de,ADV,3,12358
bourse à pasteur,NC,1,13689
bourse à berger,NC,2,13689
niveau,NC,1,13690
étage,NC,2,13690
bourse à la criée,NC,3,13690
salle des marchés,NC,4,13690
plancher,NC,5,13690
religion,NC,1,12362
aura,NC,2,12362
halo,NC,3,12362
auréole,NC,4,12362
nimbe,NC,5,12362
bousculade,NC,1,13693
débandade,NC,2,13693
auriculaire,NC,1,12363
perce-oreille,NC,2,12363
forficule,NC,3,12363
fumier,NC,1,13694
bouse,NC,2,13694
purin,NC,3,13694
en face,ADV,1,12360
avant,ADV,2,12360
en avant,ADV,3,12360
auparavant,ADV,4,12360
bourse,NC,1,13691
marché,NC,2,13691
échange,NC,3,13691
orage,NC,4,13691
organigramme de programmation,NC,1,11031
organigramme,NC,2,11031
auréole (religion),NC,1,12361
aura,NC,2,12361
halo,NC,3,12361
auréole,NC,4,12361
nimbe,NC,5,12361
sac à main,NC,1,13692
bourse,NC,2,13692
sacoche,NC,3,13692
porte-monnaie,NC,4,13692
périphérie,NC,1,23012
périphérique,NC,2,23012
épilateur électrique,NC,1,24344
épilation,NC,2,24344
épilateur,NC,3,24344
périphérique informatique,NC,1,23013
périphérique,NC,2,23013
pêche à la ligne,NC,1,23015
pêche,NC,2,23015
pêche sportive,NC,3,23015
pêche à la traîne,NC,1,23016
troll,NC,2,23016
évêque,NC,1,24348
épiscopat,NC,2,24348
pêche,NC,1,23017
pêcher,NC,2,23017
épingle de nourrice,NC,1,24347
épingle de sûreté,NC,2,24347
pêche,NC,1,23018
zone de pêche,NC,2,23018
pêcherie,NC,3,23018
pôle,NC,1,23019
pôle céleste,NC,2,23019
pôles célestes,NC,3,23019
événement,NC,1,24349
épisode,NC,2,24349
épeire diadème,NC,1,24340
épeire,NC,2,24340
période,NC,1,23010
époque,NC,2,23010
époque géologique,NC,3,23010
épicéa,NC,1,24342
épinette,NC,2,24342
périodiquement,ADV,1,23011
sporadiquement,ADV,2,23011
algue verte,NC,1,11034
algues vertes,NC,2,11034
bison,NC,1,12366
aurochs,NC,2,12366
boussole,NC,1,13697
compas,NC,2,13697
compas (géométrie),NC,3,13697
algue bleue,NC,1,11033
cyanobactérie,NC,2,11033
couronne,NC,1,12367
couronne solaire,NC,2,12367
auréole,NC,3,12367
boussole,NC,1,13698
compas,NC,2,13698
géométrie,NC,3,13698
pli,NC,1,11036
cil,NC,2,11036
algue,NC,3,11036
plissé,NC,4,11036
petit doigt,NC,1,12364
auriculaire,NC,2,12364
bousier sacré,NC,1,13695
scarabée,NC,2,13695
cil,NC,1,11035
algue,NC,2,11035
gâcher,VER,1,13696
bousiller,VER,2,13696
niquer,VER,3,13696
foirer,VER,4,13696
